layer,num_samples,feat_dim,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.lora_A.default,640,1,1,1.000000004180027,285.94564879098965,285.9456481933594,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.lora_B.default,640,1,1,1.000000031756857,3.387586647417628,3.3875865936279297,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.16.ffn.layers.1,640,1,1,1.0000000288403934,0.3507344773338659,0.3507344722747803,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.proj,2560,1,1,0.9999999848525494,0.9500642942957839,0.9500643014907837,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0,640,1,1,1.000000032715541,28.42357681992682,28.42357635498047,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.base_layer,640,1,1,1.0000000271702982,29.147211470798325,29.1472110748291,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.lora_A.default,640,1,1,0.9999999701221782,184.6230746345104,184.62307739257812,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000329073715,2.1915216806511215,2.191521644592285,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.17.ffn.layers.1,640,1,1,1.000000002291808,0.5889834768377242,0.5889834761619568,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.proj,2560,1,1,0.9999999768557093,0.4254622708211484,0.4254622757434845,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0,640,1,1,0.9999999758847727,7.5817193070811575,7.581719398498535,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.base_layer,640,1,1,0.9999999770329654,6.633232040526458,6.633232116699219,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000073636433,505.62637515264174,505.6263732910156,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999817723112,0.4952013745485666,0.49520137906074524,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.2.ffn.layers.1,640,1,1,1.0000000122151749,0.5728545819946579,0.5728545784950256,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.proj,2560,1,1,1.000000001233131,1.0112463242095042,1.0112463235855103,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0,640,1,1,1.0000000224167394,26.375376043305643,26.375375747680664,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.base_layer,640,1,1,1.0000000220385707,23.958444859341874,23.958444595336914,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000131294364,166.65438952177348,166.65438842773438,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999828856533,1.215335954757126,1.2153359651565552,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.3.ffn.layers.1,640,1,1,1.0000000041771515,0.5847897541824377,0.5847897529602051,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.proj,2560,1,1,0.9999999839323767,0.4139444794790006,0.4139444828033447,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0,640,1,1,0.9999999691331963,32.658595534785135,32.65859603881836,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.base_layer,640,1,1,1.000000002413425,30.400459326235413,30.40045928955078,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000200262074,5.210947565758175,5.210947513580322,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000236288662,1.1386816636150605,1.1386816501617432,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.4.ffn.layers.1,640,1,1,1.000000005023609,0.38979417183684534,0.38979417085647583,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.proj,2560,1,1,1.0000000110738643,0.5320600896740626,0.5320600867271423,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0,640,1,1,0.9999999523273114,68.87051227439433,68.87051391601562,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.base_layer,640,1,1,0.999999948103599,66.8527890978099,66.85279083251953,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
