layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
backbone.stages.2.blocks.2.attn,,"(320, 1408)",320,1589.3621826171875,0.6331439018249512,1408,320,320,7.390231630175625,18.459778022710758,39.651409159411216,3,7,15,50,84,0.39400245504555037,0.5603309857982467,0.7230045005343329,0.8432331740117132,0.9266295024689661,0.009375,0.021875,0.046875,0.15625
backbone.stages.2.blocks.2.ffn,,"(320, 1408)",320,587.64453125,0.23179574310779572,1408,320,320,8.31644360609837,26.037273085309952,59.66786870583157,4,10,24,79,124,0.31142651118744014,0.45658548814267713,0.6192642916503718,0.7580452707850864,0.8728449531888883,0.0125,0.03125,0.075,0.246875
backbone.stages.2.blocks.3,,"(320, 1408)",320,480.6381530761719,0.4600774943828583,1408,320,320,8.256025573005237,24.33406057052557,55.79598946567731,4,9,21,78,127,0.32898142162679667,0.482309761267969,0.6494512574272541,0.7785309255379713,0.877283417510554,0.0125,0.028125,0.065625,0.24375
backbone.stages.2.blocks.3.attn,,"(320, 1408)",320,1784.2899169921875,0.6046608686447144,1408,320,320,8.36427704481726,21.807832069186443,45.04639808387061,4,8,17,55,90,0.34994564560755015,0.5284560433092549,0.6914386180533098,0.8235118175737082,0.9175435457082443,0.0125,0.025,0.053125,0.171875
backbone.stages.2.blocks.3.ffn,,"(320, 1408)",320,653.3265380859375,0.29930710792541504,1408,320,320,5.840770020539506,18.15352875930408,51.19406707294139,3,8,22,79,126,0.38866974118305636,0.5112861775355725,0.6412182789509673,0.7677119443894115,0.8737681246220964,0.009375,0.025,0.06875,0.246875
backbone.stages.2.blocks.4,,"(320, 1408)",320,596.3524169921875,0.3977307677268982,1408,320,320,8.31527232253358,25.351618608738036,59.89605452955868,4,9,23,87,139,0.3227560212965435,0.4764586224947529,0.6301182916793128,0.7607322272580568,0.8621304632039528,0.0125,0.028125,0.071875,0.271875
backbone.stages.2.blocks.4.attn,,"(320, 1408)",320,1655.2015380859375,0.6968968510627747,1408,320,320,8.740642450089418,25.696740315125645,56.69197673129119,4,9,23,74,115,0.31810031792278903,0.47579074209278743,0.630269199671344,0.7698734001836506,0.8813574345933521,0.0125,0.028125,0.071875,0.23125
backbone.stages.2.blocks.4.ffn,,"(320, 1408)",320,770.9406127929688,0.4254976511001587,1408,320,320,5.44307563294559,16.05032654767064,45.944629060175004,3,7,19,76,125,0.4243522513072917,0.5475542617891983,0.6703733082608528,0.7856998128901259,0.8802032134820504,0.009375,0.021875,0.059375,0.2375
backbone.stages.2.blocks.5,,"(320, 1408)",320,209.53875732421875,0.7424228191375732,1408,320,320,9.047020229299026,26.66580893704545,62.16699811772852,4,10,24,89,142,0.31392011169456413,0.4661297845008705,0.6215565296270019,0.7528059689526289,0.8578895274922541,0.0125,0.03125,0.075,0.278125
backbone.stages.2.blocks.5.attn,,"(320, 1408)",320,2741.802490234375,0.7440357208251953,1408,320,320,10.22886666478555,28.14817691069577,59.07282409387708,4,10,24,74,113,0.3022576400989239,0.4590344698810377,0.6190905746420826,0.7628192094274926,0.8803132955543335,0.0125,0.03125,0.075,0.23125
backbone.stages.2.blocks.5.ffn,,"(320, 1408)",320,780.9087524414062,0.39881670475006104,1408,320,320,4.786195986206972,14.564530274382632,45.55093702835438,2,6,20,81,131,0.4360822494944715,0.549002748036394,0.6674292104373836,0.7770299455188535,0.8721696872999823,0.00625,0.01875,0.0625,0.253125
backbone.stages.2.blocks.6,,"(320, 1408)",320,305.4283142089844,0.7550538778305054,1408,320,320,9.24206403785108,29.432943936053142,69.98846593156762,5,11,29,100,152,0.29848166673943,0.4394443162213207,0.5846892547729784,0.721079770035328,0.8367187170138176,0.015625,0.034375,0.090625,0.3125
backbone.stages.2.blocks.6.attn,,"(320, 1408)",320,738.6630859375,0.5521589517593384,1408,320,320,8.03678968541828,26.586109064616476,64.21420502890597,4,10,27,90,136,0.31608007180090325,0.4538520723052285,0.5992471495413102,0.733085463771189,0.8500752671694102,0.0125,0.03125,0.084375,0.28125
backbone.stages.2.blocks.6.ffn,,"(320, 1408)",320,365.94122314453125,0.22445853054523468,1408,320,320,4.095358233945825,13.30549728045887,51.19505783016706,2,8,26,96,148,0.40268865572741247,0.504349348408375,0.6237922217032694,0.7381973813654829,0.8436088495966216,0.00625,0.025,0.08125,0.3
