layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
base_model.model.backbone.stages.2.blocks.15.ffn,,"(1280, 1408)",1280,866.4793090820312,0.47153088450431824,1408,1280,1280,3.035673799580507,8.372010730026867,39.353551209774444,1,6,19,82,156,0.45601656005612334,0.5513877533100943,0.6713500287934587,0.7874478729830073,0.8763086182298241,0.00078125,0.0046875,0.01484375,0.0640625
base_model.model.backbone.stages.2.blocks.15,,"(1280, 1408)",1280,1337.505615234375,0.5605292320251465,1408,1280,1280,9.842112964063713,38.33235689610752,113.79874926325068,6,16,44,189,319,0.2528647717396709,0.3746993745112636,0.5055736653765784,0.6444227227948778,0.7615750135054428,0.0046875,0.0125,0.034375,0.14765625
base_model.model.backbone.stages.2.blocks.16.attn,,"(1280, 1408)",1280,3229.133056640625,0.3156401813030243,1408,1280,1280,4.0319559926086415,13.10559812446302,60.257733384041025,2,9,29,129,218,0.40628988450911196,0.49539524763503007,0.6040980624077511,0.71536371118465,0.8164160575398423,0.0015625,0.00703125,0.02265625,0.10078125
base_model.model.backbone.stages.2.blocks.16.ffn,,"(1280, 1408)",1280,1270.1727294921875,0.5092789530754089,1408,1280,1280,3.2071901581113145,9.119535557226905,40.42978670718955,1,6,19,80,152,0.44884961566742804,0.5531532023328646,0.6687772983555695,0.7902953409996737,0.8789806768572008,0.00078125,0.0046875,0.01484375,0.0625
base_model.model.backbone.stages.2.blocks.16,,"(1280, 1408)",1280,1785.4957275390625,0.3448340594768524,1408,1280,1280,5.228590992900485,19.517701046716276,79.05470493532226,3,11,33,154,279,0.3462307151435741,0.4496461087794625,0.5682898148851044,0.69805315641927,0.8036829215859033,0.00234375,0.00859375,0.02578125,0.1203125
base_model.model.backbone.stages.2.blocks.17.attn,,"(1280, 1408)",1280,4843.826171875,0.25080010294914246,1408,1280,1280,2.7896451024439854,7.202933565138795,39.1101798459711,1,5,22,106,187,0.4860800228403351,0.5669591638617942,0.6577788032728524,0.758402537096737,0.8462241110935566,0.00078125,0.00390625,0.0171875,0.0828125
base_model.model.backbone.stages.2.blocks.17.ffn,,"(1280, 1408)",1280,1891.5784912109375,0.5665563344955444,1408,1280,1280,2.7786774065194493,7.0815267725845334,31.33590622122151,1,5,15,64,134,0.4923790607739539,0.5978054046810648,0.716228767287392,0.8265210177500418,0.9011662524897676,0.00078125,0.00390625,0.01171875,0.05
base_model.model.backbone.stages.2.blocks.17,,"(1280, 1408)",1280,321.566650390625,0.882786750793457,1408,1280,1280,14.03151030485505,49.174268325247546,120.23608790618573,7,18,44,174,295,0.20651416334367406,0.32666722469866194,0.4787290032359652,0.6395308013806098,0.7691240911476648,0.00546875,0.0140625,0.034375,0.1359375
base_model.model.backbone.stages.3.blocks.0.attn,,"(1280, 2816)",1280,3438.520263671875,0.216013103723526,2816,1280,1280,2.126750843056687,4.435063784482669,30.309161284246738,1,2,19,135,271,0.5477024728572134,0.6080893830623574,0.6817884531171985,0.7614888712359456,0.8354190068371555,0.00078125,0.0015625,0.01484375,0.10546875
base_model.model.backbone.stages.3.blocks.0.ffn,,"(1280, 2816)",1280,3001.058837890625,0.7311125993728638,2816,1280,1280,2.23877812386998,4.889442981774295,34.573093572060415,1,3,21,155,314,0.5326411399856773,0.5934032047496813,0.6686773349498045,0.7537093753492763,0.8269638902529509,0.00078125,0.00234375,0.01640625,0.12109375
base_model.model.backbone.stages.3.blocks.0,,"(1280, 2816)",1280,1549.941650390625,1.3038952350616455,2816,1280,1280,2.7024362084534808,6.959512727958541,45.898003235390426,1,6,24,150,310,0.46375956796619694,0.5406304620067187,0.6355758188311627,0.7449186714970234,0.8293974986657088,0.00078125,0.0046875,0.01875,0.1171875
base_model.model.backbone.stages.3.blocks.1.attn,,"(1280, 2816)",1280,10899.669921875,1.4586297273635864,2816,1280,1280,1.2520615463278415,1.5660649711056365,4.568004416257871,1,1,1,24,79,0.8259797813876623,0.852131239193652,0.8819919790086687,0.9160307474865145,0.9436703705531991,0.00078125,0.00078125,0.00078125,0.01875
base_model.model.backbone.stages.3.blocks.1.ffn,,"(1280, 2816)",1280,4183.2734375,0.7169119715690613,2816,1280,1280,1.5166732149703375,2.2886333305528668,10.80772469076681,1,1,3,69,199,0.7173623345112413,0.7550792544893364,0.8005974065618127,0.8534948846992434,0.8967956490406727,0.00078125,0.00078125,0.00234375,0.05390625
base_model.model.backbone.stages.3.blocks.1,,"(1280, 2816)",1280,2069.82470703125,1.0644291639328003,2816,1280,1280,2.3945068976136703,5.554437162216902,37.76568834554894,1,4,22,144,312,0.5025352202760939,0.5703360916556939,0.6584145784075287,0.7604705379172747,0.8395172831276594,0.00078125,0.003125,0.0171875,0.1125
